areaCode,areaName,areaType,date,cumVaccinationFirstDoseUptakeByPublishDatePercentage,cumVaccinationSecondDoseUptakeByPublishDatePercentage,cumVaccinationThirdInjectionUptakeByPublishDatePercentage,newLFDTestsBySpecimenDate,newPCRTestsByPublishDate
K02000001,United Kingdom,overview,2021-12-18,89.5,81.7,48.8,,
K02000001,United Kingdom,overview,2021-12-17,89.4,81.7,47.2,,
K02000001,United Kingdom,overview,2021-12-16,89.4,81.6,45.8,0,593748
K02000001,United Kingdom,overview,2021-12-15,89.3,81.5,44.3,0,611437
K02000001,United Kingdom,overview,2021-12-14,89.3,81.5,43.0,0,564511
K02000001,United Kingdom,overview,2021-12-13,89.2,81.4,41.9,0,409602
K02000001,United Kingdom,overview,2021-12-12,89.2,81.3,41.0,0,463088
K02000001,United Kingdom,overview,2021-12-11,89.1,81.3,40.3,0,416305
K02000001,United Kingdom,overview,2021-12-10,89.1,81.2,39.3,0,543143
K02000001,United Kingdom,overview,2021-12-09,89.0,81.2,38.6,0,578681
K02000001,United Kingdom,overview,2021-12-08,89.0,81.1,37.8,0,520554
K02000001,United Kingdom,overview,2021-12-07,89.0,81.1,37.0,0,483275
K02000001,United Kingdom,overview,2021-12-06,88.9,81.0,36.4,0,383863
K02000001,United Kingdom,overview,2021-12-05,88.9,81.0,35.8,0,465699
K02000001,United Kingdom,overview,2021-12-04,88.9,80.9,35.3,0,451186
K02000001,United Kingdom,overview,2021-12-03,88.8,80.8,34.5,0,515974
K02000001,United Kingdom,overview,2021-12-02,88.8,80.8,33.8,0,490077
K02000001,United Kingdom,overview,2021-12-01,88.7,80.7,33.1,0,487217
K02000001,United Kingdom,overview,2021-11-30,88.7,80.7,32.4,0,463179
K02000001,United Kingdom,overview,2021-11-29,88.6,80.6,31.7,0,305419
K02000001,United Kingdom,overview,2021-11-28,88.6,80.6,31.1,0,375093
K02000001,United Kingdom,overview,2021-11-27,88.5,80.5,30.6,0,391688
K02000001,United Kingdom,overview,2021-11-26,88.5,80.5,29.8,0,434535
K02000001,United Kingdom,overview,2021-11-25,88.5,80.4,29.2,0,499103
K02000001,United Kingdom,overview,2021-11-24,88.4,80.4,28.5,0,462652
K02000001,United Kingdom,overview,2021-11-23,88.4,80.4,27.8,0,448404
K02000001,United Kingdom,overview,2021-11-22,88.3,80.3,27.2,0,340924
K02000001,United Kingdom,overview,2021-11-21,88.3,80.3,26.7,0,422834
K02000001,United Kingdom,overview,2021-11-20,88.3,80.3,26.2,0,393885
K02000001,United Kingdom,overview,2021-11-19,88.2,80.2,25.4,0,431273
K02000001,United Kingdom,overview,2021-11-18,88.2,80.2,24.8,0,450128
K02000001,United Kingdom,overview,2021-11-17,88.1,80.1,24.1,0,454498
K02000001,United Kingdom,overview,2021-11-16,88.1,80.1,23.5,0,370738
K02000001,United Kingdom,overview,2021-11-15,88.0,80.1,22.9,0,286242
K02000001,United Kingdom,overview,2021-11-14,88.0,80.0,22.4,0,337547
K02000001,United Kingdom,overview,2021-11-13,87.9,80.0,22.0,0,355622
K02000001,United Kingdom,overview,2021-11-12,87.9,80.0,21.2,0,396046
K02000001,United Kingdom,overview,2021-11-11,87.8,79.9,20.6,0,438485
K02000001,United Kingdom,overview,2021-11-10,87.7,79.9,19.9,0,433303
K02000001,United Kingdom,overview,2021-11-09,87.5,79.8,19.0,0,420510
K02000001,United Kingdom,overview,2021-11-08,87.5,79.8,18.4,0,286807
K02000001,United Kingdom,overview,2021-11-07,87.4,79.7,17.9,0,262951
K02000001,United Kingdom,overview,2021-11-06,87.4,79.7,17.5,0,338232
K02000001,United Kingdom,overview,2021-11-05,87.3,79.7,16.8,0,419993
K02000001,United Kingdom,overview,2021-11-04,87.2,79.6,16.3,0,376944
K02000001,United Kingdom,overview,2021-11-03,87.1,79.6,15.7,0,432400
K02000001,United Kingdom,overview,2021-11-02,87.1,79.6,15.0,0,431254
K02000001,United Kingdom,overview,2021-11-01,87.0,79.5,14.5,0,247141
K02000001,United Kingdom,overview,2021-10-31,86.9,79.5,14.1,0,284973
K02000001,United Kingdom,overview,2021-10-30,86.9,79.5,13.8,0,347796
K02000001,United Kingdom,overview,2021-10-29,86.8,79.4,13.2,0,432229
K02000001,United Kingdom,overview,2021-10-28,86.7,79.4,12.7,0,422086
K02000001,United Kingdom,overview,2021-10-27,86.7,79.3,12.2,0,435341
K02000001,United Kingdom,overview,2021-10-26,86.6,79.3,11.7,0,395110
K02000001,United Kingdom,overview,2021-10-25,86.5,79.3,11.2,0,293174
K02000001,United Kingdom,overview,2021-10-24,86.4,79.2,10.8,0,337524
K02000001,United Kingdom,overview,2021-10-23,86.4,79.2,10.5,0,371984
K02000001,United Kingdom,overview,2021-10-22,86.3,79.1,9.8,0,465533
K02000001,United Kingdom,overview,2021-10-21,86.3,79.1,9.3,0,466665
K02000001,United Kingdom,overview,2021-10-20,86.2,79.0,8.3,0,479065
K02000001,United Kingdom,overview,2021-10-19,86.1,79.0,7.8,0,426818
K02000001,United Kingdom,overview,2021-10-18,86.0,78.9,7.4,0,277358
K02000001,United Kingdom,overview,2021-10-17,85.9,78.9,7.1,0,358801
K02000001,United Kingdom,overview,2021-10-16,85.9,78.9,6.9,0,411504
K02000001,United Kingdom,overview,2021-10-15,85.9,78.8,6.4,0,481284
K02000001,United Kingdom,overview,2021-10-14,85.8,78.8,6.0,0,429658
K02000001,United Kingdom,overview,2021-10-13,85.7,78.7,5.6,0,435682
K02000001,United Kingdom,overview,2021-10-12,85.6,78.7,4.8,0,433005
K02000001,United Kingdom,overview,2021-10-11,85.6,78.6,4.5,0,292169
K02000001,United Kingdom,overview,2021-10-10,85.5,78.6,4.2,0,339791
K02000001,United Kingdom,overview,2021-10-09,85.5,78.5,4.1,0,401596
K02000001,United Kingdom,overview,2021-10-08,85.4,78.5,3.7,0,501447
